Name,Suma fra. Jofisa,Bruto,Fino,Margen,Margen solo cerrado,Precio oro no cerrado,Fino Real,Margen total expedición,p. med Chatarra,p. med Ling Chatarra,Bruto Ling Chat,Fra Ling Chat,Bruto Chat,Fra Chat,Bruto Ling Fino,Fra Ling Fino
E30,€268420.53,6800.59,4946.53,€15723.78,€15199.66,€54.00,,-€251388.69,39.64,39.22,2766.6,€108496.76,4034.0,€159923.78,0.0,€0.00
E31,€294637.02,6965.08,5308.55,€16562.82,€16562.82,€55.00,,-€275407.52,42.43,41.66,1131.1,€47121.43,5834.0,€247515.59,0.0,€0.00
E32,€288162.68,6612.67,4958.64,€17508.32,€12568.24,€58.00,,-€270093.08,42.16,41.68,2703.6,€112691.04,2149.7,€90622.05,0.0,€0.00
E33,€355609.28,8245.27,6189.29,€20745.71,€18106.14,€57.00,,-€332043.67,42.48,43.59,3168.7,€138112.70,4939.6,€209826.77,0.0,€0.00
E34,€350319.59,7864.51,6146.88,€22703.67,€22703.67,€57.00,,-€327668.65,41.92,40.52,2187.8,€88655.29,4176.7,€175102.96,1500.0,€86561.34
"E35
",€302624.35,8111.45,6465.82,€17302.10,€17302.10,€57.00,,-€351249.62,43.04,53.05,1689.6,€89626.71,4117.9,€177250.33,600.0,€34980.00
E36,€266179.27,5655.28,4457.86,€16242.10,€16242.10,€59.00,,-€246771.74,42.66,43.77,831.2,€36378.82,3069.5,€130931.31,1499.0,€89564.35
E37,€446714.62,9004.75,7309.46,€33133.58,€26348.29,€59.00,,-€398124.35,44.09,50.98,2616.1,€133379.94,4738.6,€208911.83,1650.0,€104422.86
E38,€295752.36,5882.32,4354.44,€15335.66,€15564.62,€65.56,,-€270141.11,49.85,49.91,2427.1,€121134.96,3342.9,€166655.30,112.3,€7962.10
E39,€172583.13,3916.02,2971.02,-€22647.91,-€22647.91,,,-€22647.91,37.23,50.75,412.7,€20946.46,2175.0,€80971.51,250.0,€17095.79
E40,€22585.25,3294.94,2522.47,-€143956.39,-€73529.57,,,-€143956.39,0.00,0.00,788.5,€0.00,669.5,€0.00,175.0,€0.00